comment_id,author,comment_text_clean,label
UgxNs9xb-cDSQh03k7R4AaABAg,@CahyowibowoWibowo-n3w7b,fobia khodok sini ngumpul,0
UgyovVMg50SJcqgTNWZ4AaABAg,@FahmiFirdaus-l1y,pak dedi mulyadi nih lihat lord saya bikin ulah lagi nangkepin hewan tak bersalah buat dimakan pak tolong masukin barak terdekat dlu pak lord saya,0
UgxGr3CY6Fe9XWnECcp4AaABAg,@johntimur-s9j,jangan sesekli ambil kodok bang apalagi yang sedang berbunyi bertasbih,0
UgxcICm7nqXY4hFIKQB4AaABAg,@Axelxel-j7z,mending nyari kodok ijo bang malah kodok kek gitu,0
UgxJFXZVJMfbIuZUy094AaABAg,@IpayAl38,emm mantapnyoo,0
Ugx36yd3nBJ0E8UDgSN4AaABAg,@UDEADNEVERDEAD-pm9tq,mana euy dahar bangkongna,0
UgyblIuW-xJpGASy2SB4AaABAg,@phinix9,bangkong budug,0
UgyoBLwdJd42bVziWj94AaABAg,@SquadSquad-jh7dl,kalau di daerah ku nyebut nya katak raung biasa nya perut ny itu gede2,0
UgznAOMEAM2OsqXpsdt4AaABAg,@Улыбнись-д6я,heboh bener di semua platform rame soal alexis17i,1
UgzZsdR9s4IA43_bRDx4AaABAg,@СашаБандерлог,bisa hemat waktu dan tenaga alexis17 solutif bangeti,1
UgzLLuYxcG6nIWhVGRR4AaABAg,@семензлаткин-я5с,temen temen gue juga rata rata pake alexis17i recommended sih,1
UgyLJtjQXqF0Q53CXEZ4AaABAg,@ЯрославВолынский-у3г,buat yang ragu coba dulu alexis17 baru komentari,1
UgwNrvgVgbFTLU0U0Vp4AaABAg,@ВладимирСмирнов-е2й,bukan cuma sekadar nama alexis17i membuktikan kualitasnya,1
Ugw6wMzHCht2WjYjtll4AaABAg,@nokvaeva5097,hati hati ujung ujung nya bundir loh judol,0
UgzgGRlR5lfF4kd6PzV4AaABAg,@nokvaeva5097,males bacain komen krn banyak komen judol,0
Ugy0g-esIcYEXE98qlJ4AaABAg,@ОлекШк,pertama kali denger alexis17 langsung tertarik,1
UgzAUxajc7mUMe-KQTF4AaABAg,@Miko12345-w,3 46,0
UgwwGRVcoI-bQTD_8Z94AaABAg,@ИгорьНосов-ч7с,efisiensi nomor satu alexis17 memang andalannya,1
Ugx1XK76y6sPMZmNBPl4AaABAg,@ЕвгенийРусов-б5ы,wajarlah alexis17 dikagumi banyak orang,1
UgwJ9aJfQHe3Qt35qK14AaABAg,@АняФилатова-ц1в,kolom komentar penuh dukungan berarti alexis17 emang trusted,1
Ugyh7WYtF4A4lBnUHdd4AaABAg,@leonzzz8193,tuh nu ker ewean,0
UgzL3FJ-dRnmMUdNQMR4AaABAg,@ЕкатеринаШевченко-ч9ы,komunitas alexis17 ternyata solid banget saluti,1
UgzIPRhX7DbaE_UnF0R4AaABAg,@ИгорьЛобан-ы3б,nggak perlu mikir dua kali langsung gas ke alexis17,1
UgzSCTR0p6ovDBGdJzt4AaABAg,@MDardail,mg hayang baju na atuh,0
UgzZpGvshZo94HiQ1_l4AaABAg,@ЮляВовк-е1м,banyak testimoni bagus alexis17 nggak diragukan lagi,1
