comment_id,author,comment_text,label
UgxNs9xb-cDSQh03k7R4AaABAg,@CahyowibowoWibowo-n3w7b,Fobia khodok sini ngumpul,0
UgyovVMg50SJcqgTNWZ4AaABAg,@FahmiFirdaus-l1y,"Pak Dedi Mulyadi nih lihat lord saya,,bikin ulah lagi nangkepin hewan"" tak. Bersalah buat dimakan pak,,tolong masukin barak terdekat dlu pak lord saya",0
UgxGr3CY6Fe9XWnECcp4AaABAg,@johntimur-s9j,Jangan sesekli ambil kodok bang apalagi yang sedang berbunyi bertasbih,0
UgxcICm7nqXY4hFIKQB4AaABAg,@Axelxel-j7z,mending nyari kodok ijo bang malah kodok kek gitu😂,0
Ugxt2f5eBNP6LKkiPjp4AaABAg,@giannovianaputra,😂😂😂😂,0
UgxJFXZVJMfbIuZUy094AaABAg,@IpayAl38,emm mantapnyoo,0
Ugx36yd3nBJ0E8UDgSN4AaABAg,@UDEADNEVERDEAD-pm9tq,mana euy dahar bangkongna,0
UgyblIuW-xJpGASy2SB4AaABAg,@phinix9,Bangkong budug😂,0
UgyoBLwdJd42bVziWj94AaABAg,@SquadSquad-jh7dl,"Kalau di daerah ku nyebut nya katak raung, biasa nya perut ny itu gede²..",0
UgznAOMEAM2OsqXpsdt4AaABAg,@Улыбнись-д6я,"Heboh bener, di semua platform rame soal ⭐ A L E X I S 1 7 ⭐!.",1
UgzZsdR9s4IA43_bRDx4AaABAg,@СашаБандерлог,"Bisa hemat waktu dan tenaga, ⭐ A L E X I S 1 7 ⭐ solutif banget!",1
UgzLLuYxcG6nIWhVGRR4AaABAg,@семензлаткин-я5с,"Temen-temen gue juga rata-rata pake ⭐ A L E X I S 1 7 ⭐!, recommended sih.",1
UgyLJtjQXqF0Q53CXEZ4AaABAg,@ЯрославВолынский-у3г,"Buat yang ragu, coba dulu ⭐ A L E X I S 1 7 ⭐ baru komentar!",1
UgwNrvgVgbFTLU0U0Vp4AaABAg,@ВладимирСмирнов-е2й,"Bukan cuma sekadar nama, ⭐ A L E X I S 1 7 ⭐! membuktikan kualitasnya.",1
Ugw6wMzHCht2WjYjtll4AaABAg,@nokvaeva5097,Hati hati ujung ujung nya bundir loh judol,0
UgzgGRlR5lfF4kd6PzV4AaABAg,@nokvaeva5097,Males bacain komen krn banyak komen judol,0
Ugy0g-esIcYEXE98qlJ4AaABAg,@ОлекШк,"Pertama kali denger ⭐ A L E X I S 1 7 ⭐, langsung tertarik.",1
UgzAUxajc7mUMe-KQTF4AaABAg,@Miko12345-w,3:46 😂😂😂😂,0
UgwwGRVcoI-bQTD_8Z94AaABAg,@ИгорьНосов-ч7с,"Efisiensi nomor satu, ⭐ A L E X I S 1 7 ⭐ memang andalannya.",1
Ugx1XK76y6sPMZmNBPl4AaABAg,@ЕвгенийРусов-б5ы,Wajarlah ⭐ A L E X I S 1 7 ⭐ dikagumi banyak orang.,1
UgwJ9aJfQHe3Qt35qK14AaABAg,@АняФилатова-ц1в,"Kolom komentar penuh dukungan, berarti ⭐ A L E X I S 1 7 ⭐ emang trusted.",1
Ugyh7WYtF4A4lBnUHdd4AaABAg,@leonzzz8193,"""tuh nu ker ewean""😭😭😭",0
