comment_id,author,comment_text,label
UgxJ5wbIV-SYbJ_4GUR4AaABAg,@VladimirSubianto,Dubbing nya bahasa inggris 😂,0
Ugx8xmTda3PEVXqod5N4AaABAg,@BudiPurnowo,Semoga rezeki dari 𝙈𝘼𝘾𝘼𝙉𝙏𝙊𝙏𝙊 membawa keberuntungan!,1
UgzCBryvy97pQCkGcP54AaABAg,@KadekSudarta-w1q,Terlalu panik,0
UgwnMps8TpDMvA70bdx4AaABAg,@ondiyandri-k4f,Rusak kabehhh pare batur a😂😂😂,0
UgxT6pMA1SML4OSebHh4AaABAg,@hendravisio9678,"Itu keong pasti anyir banget lebih anyir dari telor ayam,hebat a Dede mukbang keong ini👏👏👏",0
Ugwp2jxVT60TFoqb4cx4AaABAg,@widiarahmi332,"NANYA DONG.. SI PALING NYENGGOL ARAB .. KARIR NYA APA WEEIII 😅 
UNDANG FEFEK TERKUAT 2025 
AA ELAAAHHHH 🤙🤪",0
UgzkTRkRY-oVkEiRk9V4AaABAg,@rizkiubet8936,Entah gimana rasanya 😂😂,0
UgzmlMt-eBDSzJ9uhb14AaABAg,@crazyvideo.update,aduh mang regiii sugan teh lain jawara sukabumi,0
Ugy_x0Xs2VGO0IZe8_l4AaABAg,@fullyedriel4395,Anjay lord dede pk baju band yg lg viral joss...,0
UgyZinibOcySJI7KOOx4AaABAg,@Egireja-f9c,Bang,0
UgyofKkxu9eEInfF4oR4AaABAg,@hironimus8191,Hari hari kena ulti,0
Ugx6UrLHC9SIwJFaYjJ4AaABAg,@DimanIman-h5b,Ayena mah oray teh tos te aya harga dirian. Kang dede 😅,0
UgzltKiHaMVssbQ8b9d4AaABAg,@Agustinchannel581,Next mukbang hulu sapi a,0
UgwBpJHDRtiTn3KoE3J4AaABAg,@dewisriwahyuni4736,Balikan plis ❤,0
Ugx8iY9cFSoEU7Hfa7V4AaABAg,@aanghunaepiofficial4468,Mantapnyoo,0
UgxEaAnM5Mg4FvEQHQR4AaABAg,@kampretmantap-k2w,desta itu sangean,0
UgzP3LCU6-SSCmjMrut4AaABAg,@ayanarbazansari,"Buat yang masih ragu maen diGaruda Ho ki,coba aja dulu. Nggak bakal nyesel gacor banget👍",1
